,text,target
0,"RT #USER#: No te quieren perder, pero no hacen nada para que te quedes.",0
1,due llegó a casa borracha y se fue directo a dormir. Ya reviví.,0
2,Me gustó un video de #USER# #URL# Como vez primera - Esteman (Luis Yannick cover),0
3,"Che Pichetto, pedí que expulsen del país al franchute energúmeno que agredió a un argentino.",0
4,"#USER# No me conoces. Lo q digo salvo por circunstancias excepcionales, lo cumplo. Así q si, la has jodid! 🤷🏻‍♀️😬",1
5,"RT #USER#: Tendemos muchas cosas paralelas.. Elecciones también? Obvio, antes le decían fraudulentas..",0
6,RT #USER#: Niños indigenas venezolanos en la mira de la guerrilla colombiana #URL#,0
7,RT #USER#: Donde pongo el ojo no superan al ex.,0
8,RT #USER#: Éste es el tipejo al que os empeñáis en salvar el culo ahora... #URL#,1
9,RT #USER#: Los hombres mayores de 40 son como el café: buenos fuertes y calientes ❤️☕,1
10,"RT #USER#: Un 30% dicen estos 🤦‍♀️ Pero hombre, borra el tuit o rectifica que da vergüenza ajena",1
11,RT #USER#: Zasca!!!!!!!!!!! de #USER# a #USER# . Vía #USER# #URL#,1
12,#USER# #USER# #USER# Sip..Está en 5° de pandereta y es una eminencia en reventamiento de Jesús..,1
13,"RT #USER#: 2021 y se sigue utilizando ""yonki"" como insulto y ridiculizando la drogodepencia",0
14,Ya neta el lunes me aplico en la vida fit.,0
15,"RT #USER#: Mi defensa de Bichos por encima de todas las otras películas de Pixar, aquí. #URL#",0
16,"También échenle Nutella a su dignidad, a ver si así se les antoja y no la pierden, hijos de su putísima madre. Saludos cordiales",1
17,"RT #USER#: El repasito que le da la irlandesa Clare Daly al Parlamento Europeo y al miserable de Josep Borrell, es ÉPICO.",1
18,"Interesante la reflexión, pero a quién lo rotuló: Se dice escuchaD #URL#",1
19,RT #USER#: Alguien con carro para que me pase por encima porfa Les doy para la gasolina 😘,0
20,#USER#..Éste niño también podrá salir a la calle acompañado por su abuela Belén el día 27..Yupiiiiii!!!!!.. #URL#,1
21,"Odio los jueves, no deberían existir no sirven para nada, y peor aún sólo tengo dos clases hoy",0
22,Son unos hijos de puta #URL#,1
23,el grupo: *risas*,0
24,Ten webos y reconoce tus pendejadas. #URL#,1
25,"#USER# #USER# Es mas,si te cogen con ella y sin varilla aunque no vayas a cazar te cae la del pulpo",1
26,me dijiste mentiras y tuve que decir adiooss #URL#,0
27,"RT #USER#: Sevilla, hoy. Y la semana que viene le dirán a la gente que no salgan a manifestar en el 8M #URL#",0
28,#USER# #USER# #USER# Marca de La Casa....,1
29,yo sabía lo de armie hammer desde q vi cmbyn no me pueden decir q con la cara q tiene no se lo veían venir,0
30,#USER# #USER# Entonces es requisito de la esencia ser sacoweas para ser de derecha?,1
31,#USER# ¡Esas alumnas aplicadas!,0
32,RT #USER#: No es verdad esta noticia. #URL#,1
33,RT #USER#: Ciudadano publica video desmintiendo a un rotativo nacional. #URL#,0
34,Dios mío sí #URL#,0
35,"#USER# #USER# Sí, tienes razón.",1
36,"pasamos a ser dos seres desconocidos, ya no sé quien eres",0
37,#USER# Ese va a salir muy suave después de un par de años ahí dentro.,1
38,#USER# a que saquiador de el pueblo ban a poner de su presidente de Arena ....,0
39,"Florentino, por favor, vende a Isco hoy mismo, o regálalo, pero que Zidane no lo pueda poner más. Por favor 🙏",0
40,#USER# Mejor así Alicia 😊😉 #URL#,1
41,"Bueno al final eso de la plataforma de elecciones transparentes se ve que ha servido para limpiarse el culo, aún así gracias por el intento.",1
42,#USER# pero se podia hacer de mucho antes con tweetdeck,0
43,Me puse a hacer flexiones y a la segunda serie DW 12 ya me cansé sedentario no lo siguiente.,0
44,"#USER# Los fascistas comunistas tienen miedo a la democracia, cualquier cosa mejor que votar la gente porque saben que desaparecerán.",1
45,RT #USER#: Los gustos se dan en vida.. #URL#,0
46,RT #USER#: Dios es bueno pero protege a los sinvergüenzas 😢,1
47,"#USER# #USER# #USER# Está muy bueno amigo, yo le subiría un poquitito más el contraste a la capa del jugador.",0
48,#USER# Tú no estás entre esos maldito perro inútil. #URL#,1
49,Para terminar la comida de hoy... Buen domingo a todos #URL#,1
50,nadie: mis amigos en due a las 06:40 am: vístete qué vamos a ver el amanecer te paso a buscar en 5.,0
51,"#USER# Sois unos vendidos al movimiento de masas, como los políticos.",1
52,"#USER# #USER# #USER# #USER# #USER# #USER# #USER# Y un poquito de zinc, y cayenaaaaaa!",0
53,😅😅😅 Ya se casaron #URL#,0
54,google siempre aclarando mis dudas 😍😍 #URL#,0
55,RT #USER#: Mira boca te doy un ejemplo de tricampeonato.,0
56,#USER# #USER# #USER# #USER# Madrid va bien. La mitad puestas y una guardada 👌👍💪 #URL#,1
57,#USER# #USER# Yo no porque tenia prohibido tener teléfono hasta los 13 años (iphone 3),1
58,#USER# También se podría decir que es el “Año del Bollo Triste”. Por la misma razón,0
59,"RT #USER#: ¿Chupito cada vez que la izquierda diga hoy ""extrema derecha"" en el Congreso? 🤣🤣🤣",0
